Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_19/AddV2;model_1/tf.nn.relu_38/Relu;model_1/tf.math.negative_19/Neg;model_1/tf.nn.relu_39/Relu;model_1/tf.math.multiply_51/Mul1
Conv2D,Conv2D,NPU,28800,7.983323723776999,4723,1.167657638725787,4723,625,3124,0,0,332800,0.8173245294121403,3.440609781918272,model_1/tf.math.add_34/Add;model_1/tf.nn.convolution_18/convolution;Const_601
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_35/Add
Conv2D,Conv2D,NPU,31520,8.73730429768927,1953,0.48283619911739617,1465,960,1953,0,0,985600,2.420538029412877,24.6415770609319,model_1/tf.math.add_36/Add;model_1/tf.nn.convolution_19/convolution;Const_581
Prelu,Mul,NPU,28800,7.983323723776999,500,0.12361397826866262,250,500,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_20/AddV2;model_1/tf.nn.relu_40/Relu;model_1/tf.math.negative_20/Neg;model_1/tf.nn.relu_41/Relu;model_1/tf.math.multiply_55/Mul1_rescaled
Prelu,Mul,NPU,36800,10.200913647048388,781,0.193085034055651,500,781,48,0,0,0,0.0,0.0,model_1/tf.__operators__.add_20/AddV2;model_1/tf.nn.relu_40/Relu;model_1/tf.math.negative_20/Neg;model_1/tf.nn.relu_41/Relu;model_1/tf.math.multiply_55/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_20/AddV2;model_1/tf.nn.relu_40/Relu;model_1/tf.math.negative_20/Neg;model_1/tf.nn.relu_41/Relu;model_1/tf.math.multiply_55/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,30752,8.524415665055217,1953,0.48283619911739617,1379,536,1953,0,0,69300,0.17019408019309293,1.7326108870967742,model_1/tf.math.add_37/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_10/depthwise;Const_551
Prelu,Mul,NPU,28800,7.983323723776999,500,0.12361397826866262,250,500,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_21/AddV2;model_1/tf.nn.relu_42/Relu;model_1/tf.math.negative_21/Neg;model_1/tf.nn.relu_43/Relu;model_1/tf.math.multiply_57/Mul1_rescaled
Prelu,Mul,NPU,36800,10.200913647048388,781,0.193085034055651,500,781,48,0,0,0,0.0,0.0,model_1/tf.__operators__.add_21/AddV2;model_1/tf.nn.relu_42/Relu;model_1/tf.math.negative_21/Neg;model_1/tf.nn.relu_43/Relu;model_1/tf.math.multiply_57/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_21/AddV2;model_1/tf.nn.relu_42/Relu;model_1/tf.math.negative_21/Neg;model_1/tf.nn.relu_43/Relu;model_1/tf.math.multiply_57/Mul1
Conv2D,Conv2D,NPU,33600,9.313877677739832,4873,1.2047418322063859,4873,650,3124,0,0,985600,2.420538029412877,9.875846501128668,model_1/tf.math.add_38/Add;model_1/tf.nn.convolution_20/convolution;Const_521
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_39/Add
Conv2D,Conv2D,NPU,19824,5.495187829866501,781,0.193085034055651,725,625,781,0,0,332800,0.8173245294121403,20.806658130601793,model_1/tf.math.add_40/Add;model_1/tf.nn.convolution_21/convolution;Const_501
Prelu,Mul,NPU,19200,5.322215815851333,200,0.04944559130746505,100,200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_22/AddV2;model_1/tf.nn.relu_44/Relu;model_1/tf.math.negative_22/Neg;model_1/tf.nn.relu_45/Relu;model_1/tf.math.multiply_61/Mul1_rescaled
Prelu,Mul,NPU,22400,6.209251785159888,312,0.07713512243964547,200,312,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_22/AddV2;model_1/tf.nn.relu_44/Relu;model_1/tf.math.negative_22/Neg;model_1/tf.nn.relu_45/Relu;model_1/tf.math.multiply_61/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_22/AddV2;model_1/tf.nn.relu_44/Relu;model_1/tf.math.negative_22/Neg;model_1/tf.nn.relu_45/Relu;model_1/tf.math.multiply_61/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,20064,5.561715527564643,897,0.22176347701398075,897,219,781,0,0,23400,0.05746813097429112,1.2737771739130435,model_1/tf.math.add_41/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_11/depthwise;Const_471
Prelu,Mul,NPU,19200,5.322215815851333,200,0.04944559130746505,100,200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_23/AddV2;model_1/tf.nn.relu_46/Relu;model_1/tf.math.negative_23/Neg;model_1/tf.nn.relu_47/Relu;model_1/tf.math.multiply_63/Mul1_rescaled
Prelu,Mul,NPU,22400,6.209251785159888,312,0.07713512243964547,200,312,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_23/AddV2;model_1/tf.nn.relu_46/Relu;model_1/tf.math.negative_23/Neg;model_1/tf.nn.relu_47/Relu;model_1/tf.math.multiply_63/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_23/AddV2;model_1/tf.nn.relu_46/Relu;model_1/tf.math.negative_23/Neg;model_1/tf.nn.relu_47/Relu;model_1/tf.math.multiply_63/Mul1
Conv2D,Conv2D,NPU,28800,7.983323723776999,4723,1.167657638725787,4723,625,3124,0,0,332800,0.8173245294121403,3.440609781918272,model_1/tf.math.add_42/Add;model_1/tf.nn.convolution_22/convolution;Const_441
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_43/Add
Conv2D,Conv2D,NPU,19824,5.495187829866501,781,0.193085034055651,725,625,781,0,0,332800,0.8173245294121403,20.806658130601793,model_1/tf.math.add_44/Add;model_1/tf.nn.convolution_23/convolution;Const_421
Prelu,Mul,NPU,19200,5.322215815851333,200,0.04944559130746505,100,200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_24/AddV2;model_1/tf.nn.relu_48/Relu;model_1/tf.math.negative_24/Neg;model_1/tf.nn.relu_49/Relu;model_1/tf.math.multiply_67/Mul1_rescaled
Prelu,Mul,NPU,22400,6.209251785159888,312,0.07713512243964547,200,312,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_24/AddV2;model_1/tf.nn.relu_48/Relu;model_1/tf.math.negative_24/Neg;model_1/tf.nn.relu_49/Relu;model_1/tf.math.multiply_67/Mul1
